"Componente","Año","Estado","Municipio","Localidad","Registradas","Apoyadas"
"MOTOR",2014,"AGUASCALIENTES","AGUASCALIENTES","AGUASCALIENTES",,0
"EMBARCACION",2014,"AGUASCALIENTES","AGUASCALIENTES","AGUASCALIENTES",1,0
"HIELERA",2014,"AGUASCALIENTES","AGUASCALIENTES","AGUASCALIENTES",0,0
"SISTEMA",2014,"AGUASCALIENTES","AGUASCALIENTES","AGUASCALIENTES",0,0
"MOTOR",2014,"BAJA CALIFORNIA","ENSENADA","BAHIA DE LOS ANGELES",3,1
"EMBARCACION",2014,"BAJA CALIFORNIA","ENSENADA","BAHIA DE LOS ANGELES",1,0
"HIELERA",2014,"BAJA CALIFORNIA","ENSENADA","BAHIA DE LOS ANGELES",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","ENSENADA","BAHIA DE LOS ANGELES",0,0
"MOTOR",2014,"BAJA CALIFORNIA","ENSENADA","CAMALU",6,5
"EMBARCACION",2014,"BAJA CALIFORNIA","ENSENADA","CAMALU",1,0
"HIELERA",2014,"BAJA CALIFORNIA","ENSENADA","CAMALU",1,0
"SISTEMA",2014,"BAJA CALIFORNIA","ENSENADA","CAMALU",0,0
"MOTOR",2014,"BAJA CALIFORNIA","ENSENADA","CATAVIÑA",2,0
"EMBARCACION",2014,"BAJA CALIFORNIA","ENSENADA","CATAVIÑA",0,0
"HIELERA",2014,"BAJA CALIFORNIA","ENSENADA","CATAVIÑA",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","ENSENADA","CATAVIÑA",1,1
"MOTOR",2014,"BAJA CALIFORNIA","ENSENADA","CORONEL ESTEBAN CANTU",2,0
"EMBARCACION",2014,"BAJA CALIFORNIA","ENSENADA","CORONEL ESTEBAN CANTU",1,0
"HIELERA",2014,"BAJA CALIFORNIA","ENSENADA","CORONEL ESTEBAN CANTU",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","ENSENADA","CORONEL ESTEBAN CANTU",2,0
"MOTOR",2014,"BAJA CALIFORNIA","ENSENADA","CUATRO MILPAS",1,1
"EMBARCACION",2014,"BAJA CALIFORNIA","ENSENADA","CUATRO MILPAS",1,0
"HIELERA",2014,"BAJA CALIFORNIA","ENSENADA","CUATRO MILPAS",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","ENSENADA","CUATRO MILPAS",0,0
"MOTOR",2014,"BAJA CALIFORNIA","ENSENADA","EJIDO NACIONALISTA DE SANCHEZ TABOADA",1,1
"EMBARCACION",2014,"BAJA CALIFORNIA","ENSENADA","EJIDO NACIONALISTA DE SANCHEZ TABOADA",1,0
"HIELERA",2014,"BAJA CALIFORNIA","ENSENADA","EJIDO NACIONALISTA DE SANCHEZ TABOADA",1,0
"SISTEMA",2014,"BAJA CALIFORNIA","ENSENADA","EJIDO NACIONALISTA DE SANCHEZ TABOADA",0,0
"MOTOR",2014,"BAJA CALIFORNIA","ENSENADA","EJIDO RODOLFO SANCHEZ TABOADA",0,0
"EMBARCACION",2014,"BAJA CALIFORNIA","ENSENADA","EJIDO RODOLFO SANCHEZ TABOADA",1,0
"HIELERA",2014,"BAJA CALIFORNIA","ENSENADA","EJIDO RODOLFO SANCHEZ TABOADA",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","ENSENADA","EJIDO RODOLFO SANCHEZ TABOADA",0,0
"MOTOR",2014,"BAJA CALIFORNIA","ENSENADA","EJIDO RUBEN JARAMILLO",1,0
"EMBARCACION",2014,"BAJA CALIFORNIA","ENSENADA","EJIDO RUBEN JARAMILLO",0,0
"HIELERA",2014,"BAJA CALIFORNIA","ENSENADA","EJIDO RUBEN JARAMILLO",3,0
"SISTEMA",2014,"BAJA CALIFORNIA","ENSENADA","EJIDO RUBEN JARAMILLO",0,0
"MOTOR",2014,"BAJA CALIFORNIA","ENSENADA","EJIDO VILLA JESUS MARIA",2,1
"EMBARCACION",2014,"BAJA CALIFORNIA","ENSENADA","EJIDO VILLA JESUS MARIA",2,0
"HIELERA",2014,"BAJA CALIFORNIA","ENSENADA","EJIDO VILLA JESUS MARIA",0,0
"SISTEMA",2014,"BAJA CALIFORNIA","ENSENADA","EJIDO VILLA JESUS MARIA",0,0
"MOTOR",2014,"BAJA CALIFORNIA","ENSENADA","EL ROSARIO",2,0
"EMBARCACION",2014,"BAJA CALIFORNIA","ENSENADA","EL ROSARIO",0,0
"HIELERA",2014,"BAJA CALIFORNIA","ENSENADA","EL ROSARIO",3,0
"SISTEMA",2014,"BAJA CALIFORNIA","ENSENADA","EL ROSARIO",3,0
"MOTOR",2014,"BAJA CALIFORNIA","ENSENADA","EL ROSARIO DE ARRIBA",0,0
"EMBARCACION",2014,"BAJA CALIFORNIA","ENSENADA","EL ROSARIO DE ARRIBA",0,0
"HIELERA",2014,"BAJA CALIFORNIA","ENSENADA","EL ROSARIO DE ARRIBA",1,0
"SISTEMA",2014,"BAJA CALIFORNIA","ENSENADA","EL ROSARIO DE ARRIBA",1,0
"MOTOR",2014,"BAJA CALIFORNIA","ENSENADA","EL SAUZAL",5,2
