"tipo","ano","estado","municipio","localidad","solicitudes_atendidas","solicitudes_recibidas"
"GASOLINA",2014,"MICHOACAN","AQUILA","LA LLORONA",1,1
"GASOLINA",2014,"MICHOACAN","AQUILA","LA MANZANILLA",2,2
"GASOLINA",2014,"MICHOACAN","AQUILA","LA PLACITA DE MORELOS",2,2
"GASOLINA",2014,"MICHOACAN","AQUILA","MARUATA",17,17
"GASOLINA",2014,"MICHOACAN","AQUILA","PICHILINGUILLO",1,1
"GASOLINA",2014,"MICHOACAN","AQUILA","PLAYA DE LA MULA",1,1
"GASOLINA",2014,"MICHOACAN","AQUILA","ZAPOTE DE TIZUPAN",4,4
"GASOLINA",2014,"MICHOACAN","ARTEAGA","LA PINZANERA",1,1
"GASOLINA",2014,"MICHOACAN","ARTEAGA","PINZANDARAN",6,6
"GASOLINA",2014,"MICHOACAN","BRISEÑAS","BRISEÑAS DE MATAMOROS",8,8
"GASOLINA",2014,"MICHOACAN","BRISEÑAS","IBARRA",6,6
"GASOLINA",2014,"MICHOACAN","CABORCA","HEROICA CABORCA",2,2
"GASOLINA",2014,"MICHOACAN","CHURUMUCO","CHURUMUCO DE MORELOS",28,28
"GASOLINA",2014,"MICHOACAN","CHURUMUCO","EL CUERAMATO",1,1
"GASOLINA",2014,"MICHOACAN","CHURUMUCO","LOMA EL GUAYACAN",2,2
"GASOLINA",2014,"MICHOACAN","CHURUMUCO","LOS CIMIENTOS",3,3
"GASOLINA",2014,"MICHOACAN","CHURUMUCO","SAN ANTONIO",1,1
"GASOLINA",2014,"MICHOACAN","CHURUMUCO","SAN MARTIN DE LA LUZ",4,4
"GASOLINA",2014,"MICHOACAN","COAHUAYANA","BOCA DE APIZA",22,23
"GASOLINA",2014,"MICHOACAN","COAHUAYANA","COAHUAYANA DE HIDALGO",5,5
"GASOLINA",2014,"MICHOACAN","COAHUAYANA","OJO DE AGUA DE SAN TELMO",0,1
"GASOLINA",2014,"MICHOACAN","COAHUAYUTLA DE JOSE MARIA IZAZAGA","COAHUAYUTLA DE GUERRERO",2,2
"GASOLINA",2014,"MICHOACAN","COAHUAYUTLA DE JOSE MARIA IZAZAGA","LA CAJITA",1,1
"GASOLINA",2014,"MICHOACAN","COAHUAYUTLA DE JOSE MARIA IZAZAGA","LA CALERA",1,1
"GASOLINA",2014,"MICHOACAN","COAHUAYUTLA DE JOSE MARIA IZAZAGA","LA CALERITA",1,1
"GASOLINA",2014,"MICHOACAN","COJUMATLAN DE REGULES","CALLEJON DE LA CALERA",7,7
"GASOLINA",2014,"MICHOACAN","COJUMATLAN DE REGULES","COJUMATLAN DE REGULES",18,18
"GASOLINA",2014,"MICHOACAN","COJUMATLAN DE REGULES","LA PUNTITA",9,9
"GASOLINA",2014,"MICHOACAN","COJUMATLAN DE REGULES","LOS ROBLES",1,1
"GASOLINA",2014,"MICHOACAN","COJUMATLAN DE REGULES","PALO ALTO",15,15
"GASOLINA",2014,"MICHOACAN","COJUMATLAN DE REGULES","PETATAN (ISLA DE PETATAN)",46,46
"GASOLINA",2014,"MICHOACAN","COJUMATLAN DE REGULES","PUERTA DE COJUMATLAN (LA PUERTA)",1,1
"GASOLINA",2014,"MICHOACAN","COJUMATLAN DE REGULES","PUERTO DE LEON",7,7
"GASOLINA",2014,"MICHOACAN","COJUMATLAN DE REGULES","RINCON DE MARIA",26,26
"GASOLINA",2014,"MICHOACAN","CONTEPEC","SALTO DE TEPUXTEPEC (TEPUXTEPEC)",6,6
"GASOLINA",2014,"MICHOACAN","CUITZEO","MARIANO ESCOBEDO (SAN LORENZO)",1,1
"GASOLINA",2014,"MICHOACAN","LA HUACANA","BELLAS FUENTES (NUEVO CENTRO)",6,6
"GASOLINA",2014,"MICHOACAN","LA HUACANA","EL CANELO",2,2
"GASOLINA",2014,"MICHOACAN","LA HUACANA","EL COLORADO",1,1
"GASOLINA",2014,"MICHOACAN","LA HUACANA","EL VALLE (EL VALLECITO)",1,1
"GASOLINA",2014,"MICHOACAN","LA HUACANA","GUADALUPE DE OROPEO",1,1
"GASOLINA",2014,"MICHOACAN","LA HUACANA","HACIENDA VIEJA",1,1
"GASOLINA",2014,"MICHOACAN","LA HUACANA","LA HUACANA",1,1
"GASOLINA",2014,"MICHOACAN","LA HUACANA","LAS CRUCES (LAS CRUCITAS)",3,3
"GASOLINA",2014,"MICHOACAN","LA HUACANA","PIEDRA VERDE",2,2
"GASOLINA",2014,"MICHOACAN","LA HUACANA","POTRERILLOS DE RENTERIA (CUPUANCILLO)",7,7
"GASOLINA",2014,"MICHOACAN","LA HUACANA","ZICUIRAN",1,1
"GASOLINA",2014,"MICHOACAN","LAZARO CARDENAS","ACALPICAN DE MORELOS",1,1
"GASOLINA",2014,"MICHOACAN","LAZARO CARDENAS","BAHIA BUFADERO (CALETA DE CAMPOS)",1,1
"GASOLINA",2014,"MICHOACAN","LAZARO CARDENAS","CHUCUTITAN",1,1
"GASOLINA",2014,"MICHOACAN","LAZARO CARDENAS","CIUDAD LAZARO CARDENAS",5,5
"GASOLINA",2014,"MICHOACAN","LAZARO CARDENAS","LAS GUACAMAYAS",24,24
"GASOLINA",2014,"MICHOACAN","LAZARO CARDENAS","LAS PEÑAS",1,1
"GASOLINA",2014,"MICHOACAN","LAZARO CARDENAS","LLANITOS DEL BEJUCO (EL BEJUCO)",2,2
"GASOLINA",2014,"MICHOACAN","LAZARO CARDENAS","PLAYA AZUL",5,5
"GASOLINA",2014,"MICHOACAN","MUGICA","GAMBARA",8,8
"GASOLINA",2014,"MICHOACAN","MUGICA","NUEVO CAPIRIO (CAPIRIO NUEVO)",1,1
"GASOLINA",2014,"MICHOACAN","PURUANDIRO","PURUANDIRO",1,1
"GASOLINA",2014,"MICHOACAN","PURUANDIRO","VILLACHUATO",4,4
"GASOLINA",2014,"MICHOACAN","SAHUAYO","SAHUAYO DE MORELOS",1,1
"GASOLINA",2014,"MICHOACAN","TECOMAN","CERRO DE ORTEGA",1,1
"GASOLINA",2014,"MICHOACAN","TIZAPAN EL ALTO","TIZAPAN EL ALTO",1,1
"GASOLINA",2014,"MICHOACAN","VENUSTIANO CARRANZA","LA PALMA (LA PALMA DE JESUS)",104,104
"GASOLINA",2014,"MICHOACAN","VENUSTIANO CARRANZA","LA ZABILA",1,1
"GASOLINA",2014,"MICHOACAN","VENUSTIANO CARRANZA","VENUSTIANO CARRANZA",31,31
"GASOLINA",2014,"NAYARIT","BAHIA DE BANDERAS","BUCERIAS",7,7
"GASOLINA",2014,"NAYARIT","BAHIA DE BANDERAS","CRUZ DE HUANACAXTLE",11,11
"GASOLINA",2014,"NAYARIT","BAHIA DE BANDERAS","FRACCIONAMIENTO EMILIANO ZAPATA",1,1
"GASOLINA",2014,"NAYARIT","COMPOSTELA","CHACALA",6,6
"GASOLINA",2014,"NAYARIT","COMPOSTELA","COMPOSTELA",1,1
"GASOLINA",2014,"NAYARIT","COMPOSTELA","LA PEÑITA DE JALTEMBA",6,6
"GASOLINA",2014,"NAYARIT","COMPOSTELA","LOS AYALA",2,2
"GASOLINA",2014,"NAYARIT","COMPOSTELA","RINCON DE GUAYABITOS",2,2
"GASOLINA",2014,"NAYARIT","ROSAMORADA","FRANCISCO VILLA (EL RETIRO)",2,2
"GASOLINA",2014,"NAYARIT","ROSAMORADA","LLANO DEL TIGRE",58,58
"GASOLINA",2014,"NAYARIT","ROSAMORADA","PERICOS",25,25
"GASOLINA",2014,"NAYARIT","ROSAMORADA","PESCADERO",80,80
"GASOLINA",2014,"NAYARIT","ROSAMORADA","PIMIENTILLO",10,10
"GASOLINA",2014,"NAYARIT","ROSAMORADA","ROSAMORADA",1,1
"GASOLINA",2014,"NAYARIT","ROSAMORADA","SAN MIGUEL",27,27
"GASOLINA",2014,"NAYARIT","ROSAMORADA","SAN MIGUELITO",28,28
"GASOLINA",2014,"NAYARIT","SAN BLAS","BOCA DEL ASADERO",6,6
"GASOLINA",2014,"NAYARIT","SAN BLAS","LAURELES Y GONGORA (EL LIMON)",3,3
"GASOLINA",2014,"NAYARIT","SAN BLAS","SAN BLAS",30,34
"GASOLINA",2014,"NAYARIT","SANTIAGO IXCUINTLA","BOCA DE CAMICHIN",63,63
"GASOLINA",2014,"NAYARIT","SANTIAGO IXCUINTLA","EL CARRIZO",2,2
"GASOLINA",2014,"NAYARIT","SANTIAGO IXCUINTLA","EL FAMOSO",1,1
"GASOLINA",2014,"NAYARIT","SANTIAGO IXCUINTLA","MEXCALTITAN DE URIBE (ISLA DE MEXCALTITAN)",10,10
"GASOLINA",2014,"NAYARIT","SANTIAGO IXCUINTLA","PALMAR DE CUAUTLA (CUAUTLA)",31,31
"GASOLINA",2014,"NAYARIT","SANTIAGO IXCUINTLA","PUERTA DE PALAPARES",18,18
"GASOLINA",2014,"NAYARIT","TECUALA","ANTONIO R. LAURELES",16,16
"GASOLINA",2014,"NAYARIT","TECUALA","COMUNIDAD INDIGENA PUENTE EL COACOYUL (EL SUSPIRO)",5,5
"GASOLINA",2014,"NAYARIT","TECUALA","EL ESPINAL",4,4
"GASOLINA",2014,"NAYARIT","TECUALA","EL FILO",1,1
"GASOLINA",2014,"NAYARIT","TECUALA","EL MACHO",3,3
"GASOLINA",2014,"NAYARIT","TECUALA","LOS MORILLOS",11,11
"GASOLINA",2014,"NAYARIT","TECUALA","NOVILLERO",12,12
"GASOLINA",2014,"NAYARIT","TECUALA","SAN CAYETANO",3,3
"GASOLINA",2014,"NAYARIT","TECUALA","TECUALA",6,6
"GASOLINA",2014,"NAYARIT","TUXPAN","UNION DE CORRIENTES",4,4
"GASOLINA",2014,"OAXACA","JUCHITAN DE ZARAGOZA","ALVARO OBREGON",9,9
"GASOLINA",2014,"OAXACA","JUCHITAN DE ZARAGOZA","PLAYA SAN VICENTE",17,17
"GASOLINA",2014,"OAXACA","JUCHITAN DE ZARAGOZA","SANTA MARIA DEL MAR",16,16
"GASOLINA",2014,"OAXACA","SALINA CRUZ","ENSENADA DE LA VENTOSA (BAHIA LA VENTOSA)",1,1
"GASOLINA",2014,"OAXACA","SALINA CRUZ","SALINA CRUZ",7,7
"GASOLINA",2014,"OAXACA","SALINA CRUZ","SALINAS DEL MARQUES",3,3
"GASOLINA",2014,"OAXACA","SAN DIONISIO DEL MAR","HUAMUCHIL",41,41
"GASOLINA",2014,"OAXACA","SAN DIONISIO DEL MAR","SAN DIONISIO DEL MAR",34,34
"GASOLINA",2014,"OAXACA","SAN FRANCISCO DEL MAR","PUERTO ESTERO",2,2
"GASOLINA",2014,"OAXACA","SAN FRANCISCO DEL MAR","SAN FRANCISCO DEL MAR",13,13
"GASOLINA",2014,"OAXACA","SAN MATEO DEL MAR","SAN MATEO DEL MAR",7,7
"GASOLINA",2014,"OAXACA","SAN PEDRO HUAMELULA","EL COYUL",2,2
"GASOLINA",2014,"OAXACA","SAN PEDRO MIXTEPEC -DTO. 22 -","BAJOS DE CHILA",1,1
"GASOLINA",2014,"OAXACA","SAN PEDRO MIXTEPEC -DTO. 22 -","PUERTO ESCONDIDO",18,18
"GASOLINA",2014,"OAXACA","SAN PEDRO MIXTEPEC -DTO. 22 -","SAN MIGUEL (COLONIA SAN MIGUEL)",1,1
"GASOLINA",2014,"OAXACA","SAN PEDRO MIXTEPEC -DTO. 22 -","SAN PEDRO MIXTEPEC -DTO. 22 -",5,5
"GASOLINA",2014,"OAXACA","SAN PEDRO MIXTEPEC -DTO. 22 -","SECTOR REFORMA C",1,1
"GASOLINA",2014,"OAXACA","SAN PEDRO POCHUTLA","PUERTO ANGEL",31,31
"GASOLINA",2014,"OAXACA","SAN PEDRO POCHUTLA","SAN PEDRO POCHUTLA",4,4
"GASOLINA",2014,"OAXACA","SANTA MARIA COLOTEPEC","BRISAS DE ZICATELA",1,1
"GASOLINA",2014,"OAXACA","SANTA MARIA COLOTEPEC","COLONIA LIBERTAD",2,2
"GASOLINA",2014,"OAXACA","SANTA MARIA COLOTEPEC","MARINERO",1,1
"GASOLINA",2014,"OAXACA","SANTA MARIA COLOTEPEC","SANTA MARIA COLOTEPEC",2,2
"GASOLINA",2014,"OAXACA","SANTIAGO PINOTEPA NACIONAL","CORRALERO",11,11
"GASOLINA",2014,"OAXACA","SANTIAGO PINOTEPA NACIONAL","SANTIAGO PINOTEPA NACIONAL",3,3
"GASOLINA",2014,"OAXACA","SANTO DOMINGO TEHUANTEPEC","SANTA GERTRUDIS MIRAMAR (EL CARRIZAL)",2,2
"GASOLINA",2014,"OAXACA","VILLA DE TUTUTEPEC DE MELCHOR OCAMPO","EL ZAPOTALITO",4,4
"GASOLINA",2014,"OAXACA","VILLA DE TUTUTEPEC DE MELCHOR OCAMPO","SAN JOSE MANIALTEPEC",1,1
"GASOLINA",2014,"OAXACA","VILLA DE TUTUTEPEC DE MELCHOR OCAMPO","VILLA DE TUTUTEPEC DE MELCHOR OCAMPO",1,1
"GASOLINA",2014,"QUERETARO","CADEREYTA DE MONTES","BELLAVISTA DEL RIO",10,10
"GASOLINA",2014,"QUERETARO","CADEREYTA DE MONTES","CADEREYTA DE MONTES",1,1
"GASOLINA",2014,"QUERETARO","CADEREYTA DE MONTES","RANCHO NUEVO",1,1
"GASOLINA",2014,"QUERETARO","CADEREYTA DE MONTES","TZIBANTZA",47,47
"GASOLINA",2014,"QUERETARO","CADEREYTA DE MONTES","TZIQUIA",2,2
"GASOLINA",2014,"QUERETARO","CADEREYTA DE MONTES","XIDHI",3,3
"GASOLINA",2014,"QUERETARO","CADEREYTA DE MONTES","XODHE",10,10
"GASOLINA",2014,"QUERETARO","SAN JUAN DEL RIO","LA ESTANCIA",4,4
"GASOLINA",2014,"QUINTANA ROO","LAZARO CARDENAS","CHIQUILA",22,22
"GASOLINA",2014,"QUINTANA ROO","LAZARO CARDENAS","HOLBOX",14,14
"GASOLINA",2014,"QUINTANA ROO","LAZARO CARDENAS","SOLFERINO",5,5
"GASOLINA",2014,"SINALOA","AHOME","AHOME",2,2
"GASOLINA",2014,"SINALOA","AHOME","BACHOMOBAMPO NUMERO DOS",5,5
"GASOLINA",2014,"SINALOA","AHOME","BACOREHUIS",73,73
"GASOLINA",2014,"SINALOA","AHOME","CAMPO GASTELUM",1,1
"GASOLINA",2014,"SINALOA","AHOME","CARRIZO GRANDE",1,1
"GASOLINA",2014,"SINALOA","AHOME","COHUIBAMPO",1,1
"GASOLINA",2014,"SINALOA","AHOME","COMPUERTAS",3,3
"GASOLINA",2014,"SINALOA","AHOME","EL AGUAJITO",70,70
"GASOLINA",2014,"SINALOA","AHOME","EL ALHUATE",11,11
"GASOLINA",2014,"SINALOA","AHOME","EL COLORADO",250,250
"GASOLINA",2014,"SINALOA","AHOME","EL HECHO",20,20
"GASOLINA",2014,"SINALOA","AHOME","EL REFUGIO",1,1
"GASOLINA",2014,"SINALOA","AHOME","FLOR AZUL",2,2
"GASOLINA",2014,"SINALOA","AHOME","HIGUERA DE ZARAGOZA",5,5
"GASOLINA",2014,"SINALOA","AHOME","HUACAPORITO",1,1
"GASOLINA",2014,"SINALOA","AHOME","JITZAMURI",101,101
"GASOLINA",2014,"SINALOA","AHOME","LA CAPILLA",1,1
"GASOLINA",2014,"SINALOA","AHOME","LAS GRULLAS MARGEN DERECHA",15,15
"GASOLINA",2014,"SINALOA","AHOME","LAS GRULLAS MARGEN IZQUIERDA",29,29
"GASOLINA",2014,"SINALOA","AHOME","LAS LAJITAS",36,36
"GASOLINA",2014,"SINALOA","AHOME","LAZARO CARDENAS (MUELLECITO)",45,45
"GASOLINA",2014,"SINALOA","AHOME","LOS MOCHIS",19,19
"GASOLINA",2014,"SINALOA","AHOME","MACAPULE",5,5
"GASOLINA",2014,"SINALOA","AHOME","OHUIRA",3,3
"GASOLINA",2014,"SINALOA","AHOME","PAREDONES",81,81
"GASOLINA",2014,"SINALOA","AHOME","PLAN DE AYALA VIEJO",1,1
"GASOLINA",2014,"SINALOA","AHOME","POBLADO NUMERO CINCO",44,46
"GASOLINA",2014,"SINALOA","AHOME","PRIMERO DE MAYO",2,2
"GASOLINA",2014,"SINALOA","AHOME","RICARDO FLORES MAGON",3,3
"GASOLINA",2014,"SINALOA","AHOME","ROSENDO G. CASTRO",2,2
"GASOLINA",2014,"SINALOA","AHOME","SAN ISIDRO",1,1
"GASOLINA",2014,"SINALOA","AHOME","SAN JOSE DE AHOME",1,1
"GASOLINA",2014,"SINALOA","AHOME","SAN LORENZO VIEJO",3,3
"GASOLINA",2014,"SINALOA","AHOME","SAN PABLO",1,1
"GASOLINA",2014,"SINALOA","AHOME","TABELOJECA",2,2
"GASOLINA",2014,"SINALOA","AHOME","TOPOLOBAMPO",94,94
"GASOLINA",2014,"SINALOA","ANGOSTURA","ANGOSTURA",4,4
"GASOLINA",2014,"SINALOA","ANGOSTURA","BATURY",6,6
"GASOLINA",2014,"SINALOA","ANGOSTURA","COSTA AZUL",191,191
"GASOLINA",2014,"SINALOA","ANGOSTURA","EL EBANITO",1,1
"GASOLINA",2014,"SINALOA","ANGOSTURA","EL LLANO",8,8
"GASOLINA",2014,"SINALOA","ANGOSTURA","EL MOLINO",1,1
"GASOLINA",2014,"SINALOA","ANGOSTURA","LA CERCADA",2,2
"GASOLINA",2014,"SINALOA","ANGOSTURA","LA PALMA",1,1
"GASOLINA",2014,"SINALOA","ANGOSTURA","LA REFORMA",473,474
"GASOLINA",2014,"SINALOA","ANGOSTURA","LEOPOLDO SANCHEZ CELIS (EL GATO DE LARA)",3,3
"GASOLINA",2014,"SINALOA","ANGOSTURA","NACOZARI",2,2
"GASOLINA",2014,"SINALOA","ANGOSTURA","PLAYA COLORADA",112,112
"GASOLINA",2014,"SINALOA","ANGOSTURA","TOBERY",1,1
"GASOLINA",2014,"SINALOA","BADIRAGUATO","BADIRAGUATO",1,1
"GASOLINA",2014,"SINALOA","BADIRAGUATO","EL VAREJONAL",13,13
"GASOLINA",2014,"SINALOA","BADIRAGUATO","POTRERILLOS",1,1
"GASOLINA",2014,"SINALOA","BADIRAGUATO","POTRERO ALTO",1,1
"GASOLINA",2014,"SINALOA","CABORCA","HEROICA CABORCA",10,10
"GASOLINA",2014,"SINALOA","COSALA","COSALA",2,2
"GASOLINA",2014,"SINALOA","COSALA","EL RANCHITO",13,13
"GASOLINA",2014,"SINALOA","COSALA","EL VERTEDOR",1,1
"GASOLINA",2014,"SINALOA","COSALA","HIGUERAS DE JACOPA",2,2
"GASOLINA",2014,"SINALOA","COSALA","LA ILAMA",16,16
"GASOLINA",2014,"SINALOA","COSALA","LAS HIGUERAS DE URREA",3,3
"GASOLINA",2014,"SINALOA","COSALA","MEZCALTITAN",14,14
"GASOLINA",2014,"SINALOA","COSALA","SAN JOSE DE LAS BOCAS",6,6
"GASOLINA",2014,"SINALOA","CULIACAN","COSPITA",45,45
"GASOLINA",2014,"SINALOA","CULIACAN","COSTA RICA",5,5
"GASOLINA",2014,"SINALOA","CULIACAN","CULIACAN ROSALES",5,5
"GASOLINA",2014,"SINALOA","CULIACAN","EJIDO CANAN",1,1
"GASOLINA",2014,"SINALOA","CULIACAN","EL CONCHAL",23,23
"GASOLINA",2014,"SINALOA","CULIACAN","EL ESPINAL",1,1
"GASOLINA",2014,"SINALOA","CULIACAN","EL HIGUERAL",1,1
"GASOLINA",2014,"SINALOA","CULIACAN","EL MELON",6,6
"GASOLINA",2014,"SINALOA","CULIACAN","EL ROBALAR",37,37
"GASOLINA",2014,"SINALOA","CULIACAN","ELDORADO",2,2
"GASOLINA",2014,"SINALOA","CULIACAN","JESUS MARIA",31,31
"GASOLINA",2014,"SINALOA","CULIACAN","LA BIENVENIDA",3,3
"GASOLINA",2014,"SINALOA","CULIACAN","LAGUNA DE CANACHI",5,5
"GASOLINA",2014,"SINALOA","CULIACAN","LAS ARENITAS",209,209
"GASOLINA",2014,"SINALOA","CULIACAN","NINGUNO",1,1
"GASOLINA",2014,"SINALOA","CULIACAN","PALO VERDE",11,11
"GASOLINA",2014,"SINALOA","CULIACAN","PUEBLO NUEVO",8,8
"GASOLINA",2014,"SINALOA","CULIACAN","PUERTO RICO (EL REPARITO)",17,17
"GASOLINA",2014,"SINALOA","CULIACAN","SOYATITA",1,1
"GASOLINA",2014,"SINALOA","CULIACAN","SOYATITA (CRUZ SEGUNDA)",11,11
"GASOLINA",2014,"SINALOA","EL FUERTE","ADOLFO LOPEZ MATEOS (JAHUARA SEGUNDO)",14,14
"GASOLINA",2014,"SINALOA","EL FUERTE","JAHUARA PRIMERO (LOS LEYVA)",1,1
"GASOLINA",2014,"SINALOA","ELOTA","CASAS NUEVAS",1,1
"GASOLINA",2014,"SINALOA","ELOTA","CASAS VIEJAS",0,1
"GASOLINA",2014,"SINALOA","ELOTA","EL CHIRIMOLE",3,3
"GASOLINA",2014,"SINALOA","ELOTA","EL SABINAL",14,14
"GASOLINA",2014,"SINALOA","ELOTA","EL SOLITO",9,9
"GASOLINA",2014,"SINALOA","ELOTA","ELOTA",1,1
"GASOLINA",2014,"SINALOA","ELOTA","LA CRUZ",38,38
"GASOLINA",2014,"SINALOA","ELOTA","NUEVO SALTO GRANDE",7,7
"GASOLINA",2014,"SINALOA","ELOTA","PAREDON COLORADO",20,20
"GASOLINA",2014,"SINALOA","ELOTA","PUEBLO NUEVO",17,21
"GASOLINA",2014,"SINALOA","ELOTA","SAN JOSE DE CONITACA (NUEVO CONITACA)",15,15
"GASOLINA",2014,"SINALOA","ESCUINAPA","CELAYA",1,1
"GASOLINA",2014,"SINALOA","ESCUINAPA","ESCUINAPA",103,103
"GASOLINA",2014,"SINALOA","ESCUINAPA","LA CAMPANA NUMERO 2 (EL POCHOTE)",1,1
"GASOLINA",2014,"SINALOA","ESCUINAPA","OJO DE AGUA DE HUANACAXTLE",2,2
"GASOLINA",2014,"SINALOA","ESCUINAPA","OJO DE AGUA DE PALMILLAS",18,18
"GASOLINA",2014,"SINALOA","ESCUINAPA","PALMITO DEL VERDE",9,9
"GASOLINA",2014,"SINALOA","ESCUINAPA","SALSIPUEDES (SITIO DE PESCA)",1,1
"GASOLINA",2014,"SINALOA","ESCUINAPA","TEACAPAN",13,13
"GASOLINA",2014,"SINALOA","GUASAVE","BOCA DEL RIO",24,24
"GASOLINA",2014,"SINALOA","GUASAVE","CAIMANERO",2,2
"GASOLINA",2014,"SINALOA","GUASAVE","CALLEJONES DE GUASAVITO",1,1
"GASOLINA",2014,"SINALOA","GUASAVE","CALLEJONES DE TAMAZULA",1,1
"GASOLINA",2014,"SINALOA","GUASAVE","CAMPO PESQUERO 22-15",13,13
"GASOLINA",2014,"SINALOA","GUASAVE","CARRICITOS",1,1
"GASOLINA",2014,"SINALOA","GUASAVE","CASA BLANCA",1,1
"GASOLINA",2014,"SINALOA","GUASAVE","CUBIRI (CUBIRI DEL AMOLE)",1,1
"GASOLINA",2014,"SINALOA","GUASAVE","EL CARACOL",93,93
"GASOLINA",2014,"SINALOA","GUASAVE","EL CERRO CABEZON",186,186
"GASOLINA",2014,"SINALOA","GUASAVE","EL COLORADITO",28,28
"GASOLINA",2014,"SINALOA","GUASAVE","EL HUITUSSI",217,218
"GASOLINA",2014,"SINALOA","GUASAVE","EL HUITUSSI Y ANEXOS (EL HUITUSSITO)",1,1
"GASOLINA",2014,"SINALOA","GUASAVE","EL MARCOL",1,1
"GASOLINA",2014,"SINALOA","GUASAVE","EL PAPACHAL",1,1
"GASOLINA",2014,"SINALOA","GUASAVE","EL PITAHAYAL",1,1
"GASOLINA",2014,"SINALOA","GUASAVE","EL PROGRESO",1,1
"GASOLINA",2014,"SINALOA","GUASAVE","EL SACRIFICIO",7,7
"GASOLINA",2014,"SINALOA","GUASAVE","EL TORTUGO",68,68
"GASOLINA",2014,"SINALOA","GUASAVE","EL TORUNO",1,1
"GASOLINA",2014,"SINALOA","GUASAVE","GABRIEL LEYVA SOLANO (BENITO JUAREZ)",1,1
"GASOLINA",2014,"SINALOA","GUASAVE","GUASAVE",21,21
"GASOLINA",2014,"SINALOA","GUASAVE","LA BRECHA",3,3
"GASOLINA",2014,"SINALOA","GUASAVE","LA ENTRADA VIEJA",1,1
"GASOLINA",2014,"SINALOA","GUASAVE","LAS CAÑADAS NUMERO UNO",1,1
"GASOLINA",2014,"SINALOA","GUASAVE","LAS HIGUERAS (LAS FLORES)",1,1
"GASOLINA",2014,"SINALOA","GUASAVE","LOCALIDAD SIN NOMBRE",1,1
"GASOLINA",2014,"SINALOA","GUASAVE","MIGUEL ALEMAN",13,13
"GASOLINA",2014,"SINALOA","GUASAVE","PALOS VERDES",17,17
"GASOLINA",2014,"SINALOA","GUASAVE","SAN JOSE DE LA BRECHA",10,10
"GASOLINA",2014,"SINALOA","GUASAVE","SAN RAFAEL (GENERAL MIGUEL VALLE DAVALOS)",1,1
"GASOLINA",2014,"SINALOA","GUASAVE","TAMAZULA",9,9
"GASOLINA",2014,"SINALOA","GUASAVE","TERAHUITO",1,1
"GASOLINA",2014,"SINALOA","GUASAVE","VICENTE GUERRERO",1,1
"GASOLINA",2014,"SINALOA","HUATABAMPO","AGIABAMPO DOS",8,8
"GASOLINA",2014,"SINALOA","HUATABAMPO","AGIABAMPO NO DOS (EL CAMPITO)",23,23
"GASOLINA",2014,"SINALOA","HUATABAMPO","AGIABAMPO UNO",41,41
"GASOLINA",2014,"SINALOA","HUATABAMPO","JUAN DE LA BARRERA",1,1
"GASOLINA",2014,"SINALOA","MAZATLAN","BARRON",1,1
"GASOLINA",2014,"SINALOA","MAZATLAN","EL CASTILLO",1,1
"GASOLINA",2014,"SINALOA","MAZATLAN","EL WALAMO",1,1
"GASOLINA",2014,"SINALOA","MAZATLAN","MAZATLAN",148,148
"GASOLINA",2014,"SINALOA","MOCORITO","LA CAÑADA",1,1
"GASOLINA",2014,"SINALOA","MOCORITO","LA MISION",2,2
"GASOLINA",2014,"SINALOA","MOCORITO","POTRERILLOS",4,4
"GASOLINA",2014,"SINALOA","NAVOJOA","AGIABAMPO",1,1
"GASOLINA",2014,"SINALOA","NAVOLATO","4 VIENTOS",6,6
"GASOLINA",2014,"SINALOA","NAVOLATO","AGUAMITAS",2,2
"GASOLINA",2014,"SINALOA","NAVOLATO","AGUAPEPITO",5,5
"GASOLINA",2014,"SINALOA","NAVOLATO","ALTATA",99,99
"GASOLINA",2014,"SINALOA","NAVOLATO","CAMPO SAN LUIS",1,1
"GASOLINA",2014,"SINALOA","NAVOLATO","DAUTILLOS",263,263
"GASOLINA",2014,"SINALOA","NAVOLATO","EL BOLSON",1,1
"GASOLINA",2014,"SINALOA","NAVOLATO","EL CARAMELO",1,1
"GASOLINA",2014,"SINALOA","NAVOLATO","EL CASTILLO",171,171
"GASOLINA",2014,"SINALOA","NAVOLATO","EL MOLINO (EL MOLINO DE SATAYA)",14,14
"GASOLINA",2014,"SINALOA","NAVOLATO","EL POTRERO DE SATAYA",2,2
"GASOLINA",2014,"SINALOA","NAVOLATO","EL REALITO",1,1
"GASOLINA",2014,"SINALOA","NAVOLATO","EL TETUAN NUEVO",23,23
"GASOLINA",2014,"SINALOA","NAVOLATO","IRAGUATO",2,2
"GASOLINA",2014,"SINALOA","NAVOLATO","LAS AGUAMITAS",209,209
"GASOLINA",2014,"SINALOA","NAVOLATO","LAS PUENTES (GUADALUPE VICTORIA)",44,44
"GASOLINA",2014,"SINALOA","NAVOLATO","LO DE REYES",1,1
"GASOLINA",2014,"SINALOA","NAVOLATO","LOS ALAMITOS",1,1
"GASOLINA",2014,"SINALOA","NAVOLATO","NAVOLATO",27,27
"GASOLINA",2014,"SINALOA","NAVOLATO","PLAN DE AYALA (EL ZANJON)",1,1
"GASOLINA",2014,"SINALOA","NAVOLATO","ROSA MORADA",5,5
"GASOLINA",2014,"SINALOA","NAVOLATO","SATAYA",8,8
"GASOLINA",2014,"SINALOA","NAVOLATO","YAMETO",18,18
