"tipo","ano","estado","municipio","localidad","solicitudes_atendidas","solicitudes_recibidas"
"GASOLINA",2014,"CAMPECHE","CABORCA","HEROICA CABORCA",3,3
"GASOLINA",2014,"CAMPECHE","CALKINI","ISLA ARENA (PUNTA ARENA)",184,193
"GASOLINA",2014,"CAMPECHE","CALKINI","TANKUCHE",3,7
"GASOLINA",2014,"CAMPECHE","CAMPECHE","BETHANIA",1,1
"GASOLINA",2014,"CAMPECHE","CAMPECHE","CAMPECHE",233,233
"GASOLINA",2014,"CAMPECHE","CAMPECHE","IMI",1,1
"GASOLINA",2014,"CAMPECHE","CAMPECHE","LEOPARDO",1,1
"GASOLINA",2014,"CAMPECHE","CAMPECHE","LERMA",81,81
"GASOLINA",2014,"CAMPECHE","CAMPECHE","SAN ANTONIO",1,1
"GASOLINA",2014,"CAMPECHE","CANDELARIA","CANDELARIA",5,5
"GASOLINA",2014,"CAMPECHE","CARMEN","ATASTA",12,12
"GASOLINA",2014,"CAMPECHE","CARMEN","CIUDAD DEL CARMEN",159,159
"GASOLINA",2014,"CAMPECHE","CARMEN","EL CARMEN",8,8
"GASOLINA",2014,"CAMPECHE","CARMEN","EMILIANO ZAPATA",5,5
"GASOLINA",2014,"CAMPECHE","CARMEN","ISLA AGUADA",112,112
"GASOLINA",2014,"CAMPECHE","CARMEN","NUEVO CAMPECHITO",1,1
"GASOLINA",2014,"CAMPECHE","CARMEN","NUEVO PROGRESO",2,2
"GASOLINA",2014,"CAMPECHE","CARMEN","PLAN DE AYALA",2,2
"GASOLINA",2014,"CAMPECHE","CARMEN","SABANCUY",101,101
"GASOLINA",2014,"CAMPECHE","CARMEN","SAN ANTONIO CARDENAS",10,10
"GASOLINA",2014,"CAMPECHE","CHAMPOTON","CHAMPOTON",228,228
"GASOLINA",2014,"CAMPECHE","CHAMPOTON","CIUDAD DEL SOL",1,1
"GASOLINA",2014,"CAMPECHE","CHAMPOTON","EL PORVENIR",3,3
"GASOLINA",2014,"CAMPECHE","CHAMPOTON","LA JOYA",11,11
"GASOLINA",2014,"CAMPECHE","CHAMPOTON","LA NORIA",1,1
"GASOLINA",2014,"CAMPECHE","CHAMPOTON","PLAYA LA GUADALUPE",2,2
"GASOLINA",2014,"CAMPECHE","CHAMPOTON","SAN FRANCISCO",1,1
"GASOLINA",2014,"CAMPECHE","CHAMPOTON","SAN ISIDRO",2,2
"GASOLINA",2014,"CAMPECHE","CHAMPOTON","SEYBAPLAYA",246,247
"GASOLINA",2014,"CAMPECHE","CHAMPOTON","VILLA MADERO",50,50
"GASOLINA",2014,"CAMPECHE","HALACHO","SIHO",1,1
"GASOLINA",2014,"CAMPECHE","OCOSINGO","OCOSINGO",1,1
"GASOLINA",2014,"CHIAPAS","ACAPETAHUA","ACAPETAHUA",10,10
"GASOLINA",2014,"CHIAPAS","ACAPETAHUA","BARRA ZACAPULCO",22,22
"GASOLINA",2014,"CHIAPAS","ACAPETAHUA","LA LUPE",15,15
"GASOLINA",2014,"CHIAPAS","ACAPETAHUA","LA PALMA",19,19
"GASOLINA",2014,"CHIAPAS","ACAPETAHUA","LAS GARZAS",1,1
"GASOLINA",2014,"CHIAPAS","ACAPETAHUA","LAS LAURAS",9,9
"GASOLINA",2014,"CHIAPAS","ACAPETAHUA","NAHUALAPA",2,2
"GASOLINA",2014,"CHIAPAS","ACAPETAHUA","RIO ARRIBA",9,9
"GASOLINA",2014,"CHIAPAS","ARRIAGA","EMILIANO ZAPATA",17,17
"GASOLINA",2014,"CHIAPAS","ARRIAGA","LA GLORIA",28,28
"GASOLINA",2014,"CHIAPAS","CATAZAJA","CATAZAJA",13,13
"GASOLINA",2014,"CHIAPAS","CATAZAJA","EL PAJONAL",1,1
"GASOLINA",2014,"CHIAPAS","CATAZAJA","EL REMOLINO 1A. SECCION",1,1
"GASOLINA",2014,"CHIAPAS","CATAZAJA","PUNTA ARENA",3,3
"GASOLINA",2014,"CHIAPAS","ESCUINTLA","ESCUINTLA",1,1
"GASOLINA",2014,"CHIAPAS","FRONTERA COMALAPA","FRONTERA COMALAPA",1,1
"GASOLINA",2014,"CHIAPAS","LA CONCORDIA","DIAMANTE DE ECHEVERRIA",8,8
"GASOLINA",2014,"CHIAPAS","LA CONCORDIA","GUADALUPE",1,1
"GASOLINA",2014,"CHIAPAS","LA CONCORDIA","IGNACIO ZARAGOZA",24,24
"GASOLINA",2014,"CHIAPAS","LA CONCORDIA","LA CONCORDIA",24,24
"GASOLINA",2014,"CHIAPAS","LA CONCORDIA","NIÑOS HEROES",13,13
"GASOLINA",2014,"CHIAPAS","LA CONCORDIA","PLAN DE AGUA PRIETA",20,20
"GASOLINA",2014,"CHIAPAS","LA LIBERTAD","LA LIBERTAD",11,11
"GASOLINA",2014,"CHIAPAS","MAPASTEPEC","EL CASTAÑO",18,18
"GASOLINA",2014,"CHIAPAS","MAPASTEPEC","SANTA ISABEL",2,2
"GASOLINA",2014,"CHIAPAS","MAZATAN","SAN JOSE EL HUAYATE (BARRA DE SAN JOSE)",15,15
"GASOLINA",2014,"CHIAPAS","PIJIJIAPAN","BARRA SANTIAGO",3,3
"GASOLINA",2014,"CHIAPAS","PIJIJIAPAN","BUENAVISTA",1,1
"GASOLINA",2014,"CHIAPAS","PIJIJIAPAN","CENICEROS",33,33
"GASOLINA",2014,"CHIAPAS","PIJIJIAPAN","EL PALMARCITO",63,63
"GASOLINA",2014,"CHIAPAS","PIJIJIAPAN","EL ZAPOTAL",56,56
"GASOLINA",2014,"CHIAPAS","PIJIJIAPAN","EMBARCADERO PALO BLANCO",1,1
"GASOLINA",2014,"CHIAPAS","PIJIJIAPAN","GUADALUPE",1,1
"GASOLINA",2014,"CHIAPAS","PIJIJIAPAN","ISLA MORELOS",6,6
"GASOLINA",2014,"CHIAPAS","PIJIJIAPAN","LA ESPERANZA",1,1
"GASOLINA",2014,"CHIAPAS","PIJIJIAPAN","LA ESPERANZA (EL ZAPOTAL)",33,33
"GASOLINA",2014,"CHIAPAS","PIJIJIAPAN","LAS BRISAS",57,57
"GASOLINA",2014,"CHIAPAS","PIJIJIAPAN","LAS CUACHES",35,35
"GASOLINA",2014,"CHIAPAS","PIJIJIAPAN","MANCOMUN COMUNIDAD CARRETA",1,1
"GASOLINA",2014,"CHIAPAS","PIJIJIAPAN","PALMARIO",2,2
"GASOLINA",2014,"CHIAPAS","PIJIJIAPAN","PIJIJIAPAN",41,41
"GASOLINA",2014,"CHIAPAS","PIJIJIAPAN","SANTA CRUZ (PALO BLANCO)",1,1
"GASOLINA",2014,"CHIAPAS","TAPACHULA","BARRA DE CAHUACAN (LAS GAVIOTAS)",2,2
"GASOLINA",2014,"CHIAPAS","TAPACHULA","GUADALUPE",1,1
"GASOLINA",2014,"CHIAPAS","TAPACHULA","PUERTO MADERO (SAN BENITO)",202,202
"GASOLINA",2014,"CHIAPAS","TAPACHULA","TAPACHULA DE CORDOVA Y ORDOÑEZ",10,10
"GASOLINA",2014,"CHIAPAS","TONALA","BOCA DEL CIELO",29,29
"GASOLINA",2014,"CHIAPAS","TONALA","CABEZA DE TORO",27,27
"GASOLINA",2014,"CHIAPAS","TONALA","EL VERGEL (MANUEL VELASCO SUAREZ)",1,1
"GASOLINA",2014,"CHIAPAS","TONALA","HUIZACHAL",1,1
"GASOLINA",2014,"CHIAPAS","TONALA","MANUEL AVILA CAMACHO (PONTE DURO)",3,3
"GASOLINA",2014,"CHIAPAS","TONALA","PAREDON",165,165
"GASOLINA",2014,"CHIAPAS","TONALA","PUEBLO NUEVO (SAN CAYETANO)",1,1
"GASOLINA",2014,"CHIAPAS","TONALA","TONALA",1,1
"GASOLINA",2014,"CHIAPAS","VILLA CORZO","BELLAVISTA",2,2
"GASOLINA",2014,"CHIAPAS","VILLA CORZO","EL CIELITO (BUENAVISTA)",1,1
"GASOLINA",2014,"CHIAPAS","VILLA CORZO","EL MIRADOR",1,1
"GASOLINA",2014,"CHIAPAS","VILLA CORZO","EL PARRAL",2,2
"GASOLINA",2014,"CHIAPAS","VILLA CORZO","EMBARCADERO DE JERICO (EL SIGLO)",5,5
"GASOLINA",2014,"CHIAPAS","VILLA CORZO","ESQUIPULAS",1,1
"GASOLINA",2014,"CHIAPAS","VILLA CORZO","JERICO (PORVENIR JERICO)",17,17
"GASOLINA",2014,"CHIAPAS","VILLA CORZO","LOMA BONITA",1,1
"GASOLINA",2014,"CHIAPAS","VILLA CORZO","MANUEL AVILA CAMACHO",15,15
"GASOLINA",2014,"CHIAPAS","VILLA CORZO","REVOLUCION MEXICANA",6,6
"GASOLINA",2014,"CHIAPAS","VILLA CORZO","SAN JULIAN",1,1
"GASOLINA",2014,"CHIAPAS","VILLA CORZO","SANTIAGO",2,2
"GASOLINA",2014,"CHIAPAS","VILLA CORZO","VALLE MORELOS",5,5
"GASOLINA",2014,"CHIAPAS","VILLA CORZO","VILLA CORZO",10,10
"GASOLINA",2014,"COLIMA","ARMERIA","ARMERIA",1,1
"GASOLINA",2014,"COLIMA","ARMERIA","EL PARAISO (BALNEARIO)",7,7
"GASOLINA",2014,"COLIMA","MANZANILLO","EL COLOMO",1,1
"GASOLINA",2014,"COLIMA","MANZANILLO","MANZANILLO",4,4
"GASOLINA",2014,"GUERRERO","ACAPULCO DE JUAREZ","ACAPULCO DE JUAREZ",9,9
"GASOLINA",2014,"GUERRERO","ACAPULCO DE JUAREZ","CANDELILLA (LAS PALMITAS)",2,2
"GASOLINA",2014,"GUERRERO","ACAPULCO DE JUAREZ","COLONIA CINCO DE MAYO PARTE ALTA",1,1
"GASOLINA",2014,"GUERRERO","ACAPULCO DE JUAREZ","EL ARENAL",2,2
"GASOLINA",2014,"GUERRERO","ACAPULCO DE JUAREZ","SAN PEDRO LAS PLAYAS",7,7
"GASOLINA",2014,"GUERRERO","ACAPULCO DE JUAREZ","TRES PALOS",2,2
"GASOLINA",2014,"GUERRERO","FLORENCIO VILLARREAL","BOCA DEL RIO",2,2
"GASOLINA",2014,"GUERRERO","MARQUELIA","LA BARRA DE TECOANAPA (BARRA DE TECOANAPA)",18,18
"GASOLINA",2014,"HIDALGO","ALFAJAYUCAN","ALFAJAYUCAN",1,1
"GASOLINA",2014,"HIDALGO","ALFAJAYUCAN","CEBOLLETAS",2,2
"GASOLINA",2014,"HIDALGO","ALFAJAYUCAN","LA HUAPILLA",5,5
"GASOLINA",2014,"HIDALGO","ALFAJAYUCAN","SAN ANTONIO CORRALES",13,13
"GASOLINA",2014,"HIDALGO","ALFAJAYUCAN","ZOZEA",5,5
"GASOLINA",2014,"HIDALGO","CADEREYTA DE MONTES","BELLAVISTA DEL RIO",1,1
"GASOLINA",2014,"HIDALGO","CADEREYTA DE MONTES","CERRO PRIETO",1,1
"GASOLINA",2014,"HIDALGO","TASQUILLO","CUAUHTEMOC",2,2
"GASOLINA",2014,"HIDALGO","TASQUILLO","EL EPAZOTE",12,12
"GASOLINA",2014,"HIDALGO","TASQUILLO","LA FLORIDA",4,4
"GASOLINA",2014,"HIDALGO","TASQUILLO","NOXTHEY",45,46
"GASOLINA",2014,"HIDALGO","TECOZAUTLA","ALJIBES",2,2
"GASOLINA",2014,"HIDALGO","TECOZAUTLA","EL PASO",18,18
"GASOLINA",2014,"HIDALGO","TECOZAUTLA","EL RIITO",15,15
"GASOLINA",2014,"HIDALGO","TECOZAUTLA","LA CRUZ",1,1
"GASOLINA",2014,"HIDALGO","TECOZAUTLA","MANGUANI",23,23
"GASOLINA",2014,"HIDALGO","TECOZAUTLA","TZIDEJHE",4,4
"GASOLINA",2014,"HIDALGO","ZIMAPAN","EL CARRIZAL",1,1
"GASOLINA",2014,"HIDALGO","ZIMAPAN","EL SAUCILLO",9,9
"GASOLINA",2014,"HIDALGO","ZIMAPAN","LA CRUZ (EJIDO DE LA CRUZ)",2,2
"GASOLINA",2014,"HIDALGO","ZIMAPAN","LLANO SEGUNDO",7,7
"GASOLINA",2014,"HIDALGO","ZIMAPAN","PONTIHU",1,1
"GASOLINA",2014,"HIDALGO","ZIMAPAN","PUETZEY",1,1
"GASOLINA",2014,"HIDALGO","ZIMAPAN","TAXTHO",1,1
"GASOLINA",2014,"HIDALGO","ZIMAPAN","VICENTE GUERRERO (EL TABLON)",8,8
"GASOLINA",2014,"HIDALGO","ZIMAPAN","YETHAY",5,5
"GASOLINA",2014,"JALISCO","ACATLAN DE JUAREZ","SAN PEDRO VALENCIA",1,1
"GASOLINA",2014,"JALISCO","AMATITAN","AMATITAN",21,21
"GASOLINA",2014,"JALISCO","AYUTLA","EL ARRAYAN",1,1
"GASOLINA",2014,"JALISCO","AYUTLA","EL SALTO (CERRITOS)",3,3
"GASOLINA",2014,"JALISCO","BUENAVISTA","FELIPE CARRILLO PUERTO (LA RUANA)",5,5
"GASOLINA",2014,"JALISCO","BUENAVISTA","SAN JOSE PIEDRAS BLANCAS (SAN JOSE)",2,2
"GASOLINA",2014,"JALISCO","CABO CORRIENTES","CHIMO",6,6
"GASOLINA",2014,"JALISCO","CABO CORRIENTES","EL TUITO",2,2
"GASOLINA",2014,"JALISCO","CABO CORRIENTES","IPALA",1,1
"GASOLINA",2014,"JALISCO","CABO CORRIENTES","LAS ANIMAS DE SUCHITLAN",1,1
"GASOLINA",2014,"JALISCO","CABO CORRIENTES","LOS CORRALES",6,6
"GASOLINA",2014,"JALISCO","CABO CORRIENTES","PIZOTA",3,3
"GASOLINA",2014,"JALISCO","CABO CORRIENTES","QUIMIXTO",1,1
"GASOLINA",2014,"JALISCO","CABO CORRIENTES","TEHUAMIXTLE (TEHUALMIXTLE)",11,11
"GASOLINA",2014,"JALISCO","CABO CORRIENTES","VILLA DEL MAR",1,1
"GASOLINA",2014,"JALISCO","CABO CORRIENTES","YELAPA",10,10
"GASOLINA",2014,"JALISCO","CHAPALA","CHAPALA",67,67
"GASOLINA",2014,"JALISCO","CHAPALA","EL TECOLOTE",1,1
"GASOLINA",2014,"JALISCO","CHAPALA","SAN ANTONIO TLAYACAPAN",3,3
"GASOLINA",2014,"JALISCO","CHAPALA","SANTA CRUZ DE LA SOLEDAD",1,1
"GASOLINA",2014,"JALISCO","CIHUATLAN","BARRA DE NAVIDAD",33,33
"GASOLINA",2014,"JALISCO","CIHUATLAN","CIHUATLAN",2,2
"GASOLINA",2014,"JALISCO","CIHUATLAN","COLONIA PINAL VILLA",1,1
"GASOLINA",2014,"JALISCO","CIHUATLAN","SAN PATRICIO (MELAQUE)",20,20
"GASOLINA",2014,"JALISCO","COJUMATLAN DE REGULES","PETATAN (ISLA DE PETATAN)",1,1
"GASOLINA",2014,"JALISCO","JAMAY","JAMAY",69,69
"GASOLINA",2014,"JALISCO","JAMAY","LA MALTARAÑA (LA PALMITA)",18,19
"GASOLINA",2014,"JALISCO","JILOTLAN DE LOS DOLORES","AGUA CALIENTE",4,4
"GASOLINA",2014,"JALISCO","JILOTLAN DE LOS DOLORES","CHILATAN",66,66
"GASOLINA",2014,"JALISCO","JILOTLAN DE LOS DOLORES","CHILATAN NUEVO",1,1
"GASOLINA",2014,"JALISCO","JILOTLAN DE LOS DOLORES","CORONGOROS",4,4
"GASOLINA",2014,"JALISCO","JILOTLAN DE LOS DOLORES","EL TERRERO",2,2
"GASOLINA",2014,"JALISCO","JILOTLAN DE LOS DOLORES","JILOTLAN DE LOS DOLORES",7,7
"GASOLINA",2014,"JALISCO","JILOTLAN DE LOS DOLORES","LA PRESA",2,2
"GASOLINA",2014,"JALISCO","JILOTLAN DE LOS DOLORES","LOS COPALES",1,1
"GASOLINA",2014,"JALISCO","JILOTLAN DE LOS DOLORES","PIEDRAS BLANCAS",1,1
"GASOLINA",2014,"JALISCO","JILOTLAN DE LOS DOLORES","RANCHO NUEVO (EL MURCIELAGO)",16,16
"GASOLINA",2014,"JALISCO","JILOTLAN DE LOS DOLORES","SAN JOSE",2,2
"GASOLINA",2014,"JALISCO","JOCOTEPEC","SAN JUAN COSALA",2,2
"GASOLINA",2014,"JALISCO","LA HUERTA","AGUA CALIENTE NUEVA",1,1
"GASOLINA",2014,"JALISCO","LA HUERTA","CHAMELA",14,14
"GASOLINA",2014,"JALISCO","LA HUERTA","EMILIANO ZAPATA",4,4
"GASOLINA",2014,"JALISCO","LA HUERTA","FRANCISCO VILLA",9,9
"GASOLINA",2014,"JALISCO","LA HUERTA","LA HUERTA",3,3
"GASOLINA",2014,"JALISCO","LA HUERTA","LA MANZANILLA",17,17
"GASOLINA",2014,"JALISCO","LA HUERTA","PERULA",44,44
"GASOLINA",2014,"JALISCO","LA HUERTA","SAN MATEO",3,3
"GASOLINA",2014,"JALISCO","MANZANILLO","LA CULEBRA",1,1
"GASOLINA",2014,"JALISCO","MANZANILLO","LA CULEBRA (COLIMILLA)",2,2
"GASOLINA",2014,"JALISCO","MANZANILLO","MANZANILLO",1,1
"GASOLINA",2014,"JALISCO","OCOTLAN","AGUA CALIENTE",2,2
"GASOLINA",2014,"JALISCO","OCOTLAN","EL FUERTE",6,6
"GASOLINA",2014,"JALISCO","OCOTLAN","OCOTLAN",151,151
"GASOLINA",2014,"JALISCO","PONCITLAN","AGUA CALIENTE",19,19
"GASOLINA",2014,"JALISCO","PONCITLAN","CHALPICOTE",10,10
"GASOLINA",2014,"JALISCO","PONCITLAN","CUESTA DE MEZCALA",3,3
"GASOLINA",2014,"JALISCO","PONCITLAN","CUITZEO (LA ESTANCIA)",3,3
"GASOLINA",2014,"JALISCO","PONCITLAN","EL GUSANO (EL MEZQUITE)",4,4
"GASOLINA",2014,"JALISCO","PONCITLAN","EL ROMEREÑO (INFONAVIT)",1,1
"GASOLINA",2014,"JALISCO","PONCITLAN","EL ZAPOTE",2,2
"GASOLINA",2014,"JALISCO","PONCITLAN","LA OCOTERITA (LA OCOTERA CHICA)",1,1
"GASOLINA",2014,"JALISCO","PONCITLAN","LA PEÑA",1,1
"GASOLINA",2014,"JALISCO","PONCITLAN","LA ZAPOTERA",35,35
"GASOLINA",2014,"JALISCO","PONCITLAN","MEZCALA",23,23
"GASOLINA",2014,"JALISCO","PONCITLAN","PONCITLAN",2,2
"GASOLINA",2014,"JALISCO","PONCITLAN","SAN JUAN TECOMATLAN",6,6
"GASOLINA",2014,"JALISCO","PONCITLAN","SAN PEDRO ITZICAN",36,36
"GASOLINA",2014,"JALISCO","PUERTO VALLARTA","BOCA DE TOMATLAN",10,10
"GASOLINA",2014,"JALISCO","PUERTO VALLARTA","IXTAPA",1,1
"GASOLINA",2014,"JALISCO","PUERTO VALLARTA","LAS JUNTAS",2,2
"GASOLINA",2014,"JALISCO","PUERTO VALLARTA","PUERTO VALLARTA",26,26
"GASOLINA",2014,"JALISCO","SANTA MARIA DEL ORO","SANTA MARIA DEL ORO",2,2
"GASOLINA",2014,"JALISCO","TALA","CASTRO URDIALES (PACANA)",2,2
"GASOLINA",2014,"JALISCO","TEPALCATEPEC","NUEVO CORONGOROS",2,2
"GASOLINA",2014,"JALISCO","TEPALCATEPEC","TEPALCATEPEC",6,6
"GASOLINA",2014,"JALISCO","TEUCHITLAN","AGUA CALIENTE (LOS HERVORES)",1,1
"GASOLINA",2014,"JALISCO","TEUCHITLAN","LA ESTANZUELA",37,37
"GASOLINA",2014,"JALISCO","TEUCHITLAN","TEUCHITLAN",29,29
"GASOLINA",2014,"JALISCO","TIZAPAN EL ALTO","MISMALOYA",69,69
"GASOLINA",2014,"JALISCO","TIZAPAN EL ALTO","TIZAPAN EL ALTO",21,21
"GASOLINA",2014,"JALISCO","TIZAPAN EL ALTO","VILLA DEL LAGO (EL BARATILLO)",2,2
"GASOLINA",2014,"JALISCO","TLAQUEPAQUE","TLAQUEPAQUE",14,14
"GASOLINA",2014,"JALISCO","TOMATLAN","CAMPO ACOSTA",1,1
"GASOLINA",2014,"JALISCO","TOMATLAN","JOSE MARIA MORELOS (AGUA PALOMA)",2,2
"GASOLINA",2014,"JALISCO","TOMATLAN","LA CRUZ DE LORETO",1,1
"GASOLINA",2014,"JALISCO","TOMATLAN","LOS DIQUES",3,3
"GASOLINA",2014,"JALISCO","TOMATLAN","PRESA CAJON DE PEÑA (LA PRESA)",1,1
"GASOLINA",2014,"JALISCO","TOMATLAN","TOMATLAN",1,1
"GASOLINA",2014,"JALISCO","TUXCUECA","PUERTO CORONA",2,2
"GASOLINA",2014,"JALISCO","TUXCUECA","PURAGUA DE RAMON CORONA",1,1
"GASOLINA",2014,"JALISCO","TUXCUECA","SAN LUIS SOYATLAN",1,1
"GASOLINA",2014,"JALISCO","TUXCUECA","TUXCUECA",9,9
"GASOLINA",2014,"JALISCO","UNION DE TULA","COLONIA TRIGOMIL",2,2
"GASOLINA",2014,"JALISCO","UNION DE TULA","TACOTAN (LA ALPATAHUA)",1,1
"GASOLINA",2014,"JALISCO","VALLE DE GUADALUPE","PALO CAIDO",1,1
"GASOLINA",2014,"JALISCO","ZAPOPAN","PALO GORDO",2,2
"GASOLINA",2014,"MICHOACAN","ALVARO OBREGON","ADOLFO RUIZ CORTINES",4,4
"GASOLINA",2014,"MICHOACAN","ALVARO OBREGON","LA MINA",18,18
"GASOLINA",2014,"MICHOACAN","ANGAMACUTIRO","CURICIPO",1,1
"GASOLINA",2014,"MICHOACAN","AQUILA","AQUILA",1,1
"GASOLINA",2014,"MICHOACAN","AQUILA","ARENAS BLANCAS",1,1
"GASOLINA",2014,"MICHOACAN","AQUILA","EL FARO DE BUCERIAS",3,3
"GASOLINA",2014,"MICHOACAN","AQUILA","EL ZAPOTE DE LAS VIEJAS",1,1
